CRASH DATE,CRASH TIME,CRASH_DATETIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,COLLISION_ID,UNIQUE_ID,PERSON_ID,PERSON_TYPE,PERSON_INJURY,VEHICLE_ID,PERSON_AGE,EJECTION,EMOTIONAL_STATUS,BODILY_INJURY,POSITION_IN_VEHICLE,SAFETY_EQUIPMENT,COMPLAINT,PED_ROLE,PERSON_SEX,YEAR,INJURY_TYPE
2021-09-11,12:00:00,2021-09-11 12:00:00,QUEENS,11432,40.721645,-73.8026,"(40.721645, -73.8026)",,,0.0,0.0,0,0,0,0,0,0,UNSPECIFIED,,STATION WAGON/SPORT UTILITY VEHICLE,,4456879,11947939,8C60F093-C112-4128-A5F8-88138F88B2CB,OCCUPANT,UNSPECIFIED,20061897.0,70.0,,,,,,,REGISTRANT,M,2021,MOTORIST
2021-09-11,17:15:00,2021-09-11 17:15:00,STATEN ISLAND,10310,40.629475,-74.1123,"(40.629475, -74.1123)",,,1.0,0.0,1,0,0,0,0,0,UNSPECIFIED,,SEDAN,,4456087,11944024,D6B0962D-D14D-4358-B713-C6EF1C6EE0D9,PEDESTRIAN,INJURED,,36.0,NOT EJECTED,CONSCIOUS,HIP-UPPER LEG,RIDING/HANGING ON OUTSIDE,,COMPLAINT OF PAIN OR NAUSEA,PEDESTRIAN,M,2021,PEDESTRIAN
2021-09-11,17:19:00,2021-09-11 17:19:00,NONE,,40.680023,-73.794624,"(40.680023, -73.794624)",146 STREET,,0.0,0.0,0,0,0,0,0,0,PASSING TOO CLOSELY,UNSPECIFIED,SEDAN,SEDAN,4456370,11944909,E42FA7C6-CA0D-4242-AB75-FBFBCCC29DE5,OCCUPANT,UNSPECIFIED,20060132.0,,,,,,,,REGISTRANT,M,2021,MOTORIST
2021-07-09,06:51:00,2021-07-09 06:51:00,BROOKLYN,11208,40.673676,-73.86576,"(40.673676, -73.86576)",SUTTER AVENUE,SHERIDAN AVENUE,1.0,0.0,1,0,0,0,0,0,VIEW OBSTRUCTED/LIMITED,,SEDAN,,4456655,11948303,3DCEE5BC-80F3-4A5B-AD74-C8D384596A34,OCCUPANT,UNSPECIFIED,20062096.0,40.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,DRIVER,UNKNOWN,DOES NOT APPLY,DRIVER,F,2021,MOTORIST
2021-08-11,00:01:00,2021-08-11 00:01:00,NONE,,40.695637,-73.80372,"(40.695637, -73.80372)",105 AVENUE,,0.0,0.0,0,0,0,0,0,0,UNSAFE SPEED,,SEDAN,,4456853,11946996,33AA8B2D-F92B-4B12-8963-37501C7C7B11,OCCUPANT,UNSPECIFIED,20061362.0,65.0,,,,,,,REGISTRANT,M,2021,MOTORIST
2021-09-10,11:17:00,2021-09-10 11:17:00,NONE,,40.708324,-73.84314,"(40.708324, -73.84314)",JACKIE ROBINSON PKWY,,1.0,0.0,0,0,0,0,1,0,FOLLOWING TOO CLOSELY,UNSPECIFIED,TAXI,,4456764,11946870,BC1086BB-F9CA-42C4-A1FA-B87EEBD15AC7,OCCUPANT,INJURED,20061280.0,25.0,NOT EJECTED,CONSCIOUS,BACK,DRIVER,LAP BELT & HARNESS,COMPLAINT OF PAIN OR NAUSEA,DRIVER,M,2021,MOTORIST
2021-09-02,19:56:00,2021-09-02 19:56:00,NONE,,40.89711,-73.88008,"(40.89711, -73.88008)",MAJOR DEEGAN EXPRESSWAY,,0.0,0.0,0,0,0,0,0,0,UNSPECIFIED,,SEDAN,,4456867,11946254,88C04721-7745-4504-8411-7B6335B2ECDC,OCCUPANT,UNSPECIFIED,20060912.0,49.0,,,,,,,REGISTRANT,F,2021,MOTORIST
2021-09-11,15:30:00,2021-09-11 15:30:00,STATEN ISLAND,10310,40.62782,-74.12126,"(40.62782, -74.12126)",FOREST AVENUE,CLOVE ROAD,0.0,0.0,0,0,0,0,0,0,DRIVER INATTENTION/DISTRACTION,UNSPECIFIED,SEDAN,SEDAN,4456769,11946689,9E862868-BA92-4AB6-A9E5-5F346D698210,OCCUPANT,UNSPECIFIED,20061177.0,63.0,,,,,,,REGISTRANT,M,2021,MOTORIST
2021-09-10,21:27:00,2021-09-10 21:27:00,NONE,,40.592037,-74.15436,"(40.592037, -74.15436)",,,2.0,0.0,0,0,0,0,2,0,DRIVER INATTENTION/DISTRACTION,UNSPECIFIED,SEDAN,,4456786,11947044,5B583ABD-7BD8-4E03-8D45-AF432A635205,OCCUPANT,INJURED,20061387.0,23.0,NOT EJECTED,CONSCIOUS,NECK,DRIVER,LAP BELT & HARNESS,COMPLAINT OF PAIN OR NAUSEA,DRIVER,F,2021,MOTORIST
2019-05-21,22:50:00,2019-05-21 22:50:00,BROOKLYN,11201,40.69754,-73.98312,"(40.69754, -73.98312)",GOLD STREET,CONCORD STREET,0.0,0.0,0,0,0,0,0,0,PASSING OR LANE USAGE IMPROPER,UNSPECIFIED,�MBU,TAXI,4136992,9848197,C6ED7AED-C902-43BE-AB98-81B27D4848D1,OCCUPANT,UNSPECIFIED,18941013.0,34.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,DRIVER,LAP BELT,DOES NOT APPLY,DRIVER,M,2019,MOTORIST
2021-04-09,14:45:00,2021-04-09 14:45:00,NONE,,40.840775,-73.87246,"(40.840775, -73.87246)",BRONX RIVER PARKWAY,,1.0,0.0,0,0,0,0,1,0,DRIVER INATTENTION/DISTRACTION,UNSPECIFIED,SEDAN,STATION WAGON/SPORT UTILITY VEHICLE,4405914,11765709,0F0A5719-DEC9-4DF9-A992-F31D5B02B827,OCCUPANT,UNSPECIFIED,19955041.0,36.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,DRIVER,UNKNOWN,DOES NOT APPLY,DRIVER,M,2021,MOTORIST
2021-04-16,12:00:00,2021-04-16 12:00:00,NONE,,40.76249,-73.839584,"(40.76249, -73.839584)",VAN WYCK EXPWY,,0.0,0.0,0,0,0,0,0,0,UNSPECIFIED,UNSPECIFIED,BOX TRUCK,DUMP,4408205,11798023,1663CA8F-6BCB-4F78-82D1-BCCDBC9AF2AA,OCCUPANT,UNSPECIFIED,19973796.0,,,,,,,,REGISTRANT,U,2021,MOTORIST
2021-04-16,16:00:00,2021-04-16 16:00:00,NONE,,40.680897,-73.95118,"(40.680897, -73.95118)",ARLINGTON PLACE,,0.0,0.0,0,0,0,0,0,0,DRIVER INATTENTION/DISTRACTION,UNSPECIFIED,SEDAN,STATION WAGON/SPORT UTILITY VEHICLE,4408306,11776682,88AD411D-140B-4821-82C3-17146544137B,OCCUPANT,UNSPECIFIED,19961430.0,,,,,,,,REGISTRANT,,2021,MOTORIST
2021-04-14,06:50:00,2021-04-14 06:50:00,NONE,,40.73632,-73.85631,"(40.73632, -73.85631)",LONG ISLAND EXPRESSWAY,,0.0,0.0,0,0,0,0,0,0,FOLLOWING TOO CLOSELY,FOLLOWING TOO CLOSELY,STATION WAGON/SPORT UTILITY VEHICLE,STATION WAGON/SPORT UTILITY VEHICLE,4407320,11757642,BC22C385-6DE5-4776-BC70-04370075C41D,OCCUPANT,UNSPECIFIED,19950354.0,41.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,DRIVER,LAP BELT & HARNESS,DOES NOT APPLY,DRIVER,M,2021,MOTORIST
2021-04-15,09:28:00,2021-04-15 09:28:00,MANHATTAN,10002,40.71649,-73.98484,"(40.71649, -73.98484)",,,0.0,0.0,0,0,0,0,0,0,UNSPECIFIED,,STATION WAGON/SPORT UTILITY VEHICLE,,4407653,11746776,BB18EC71-C7B1-4882-A989-1DDBED7A1942,OCCUPANT,UNSPECIFIED,19944151.0,37.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,DRIVER,,DOES NOT APPLY,DRIVER,M,2021,MOTORIST
2021-04-14,23:17:00,2021-04-14 23:17:00,NONE,,40.656273,-73.90731,"(40.656273, -73.90731)",HEGEMAN AVENUE,,1.0,0.0,0,0,0,0,1,0,DRIVER INEXPERIENCE,UNSPECIFIED,SEDAN,STATION WAGON/SPORT UTILITY VEHICLE,4408086,11795325,DEBBA8BF-7044-4824-8662-2EBDAC5CD682,OCCUPANT,UNSPECIFIED,19972191.0,55.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,DRIVER,LAP BELT & HARNESS,DOES NOT APPLY,DRIVER,F,2021,MOTORIST
2021-04-13,17:55:00,2021-04-13 17:55:00,BRONX,10452,40.844105,-73.923065,"(40.844105, -73.923065)",GRANT HIGHWAY,UNIVERSITY AVENUE,1.0,0.0,0,0,1,0,0,0,PEDESTRIAN/BICYCLIST/OTHER PEDESTRIAN ERROR/CONFUSION,UNSPECIFIED,STATION WAGON/SPORT UTILITY VEHICLE,BIKE,4407789,11810248,A5544D28-E075-4472-A142-774994993712,OCCUPANT,UNSPECIFIED,19980937.0,50.0,,,,,,,REGISTRANT,M,2021,MOTORIST
2021-04-14,07:45:00,2021-04-14 07:45:00,MANHATTAN,10024,40.785774,-73.97052,"(40.785774, -73.97052)",,,2.0,0.0,0,0,0,0,2,0,PASSING OR LANE USAGE IMPROPER,UNSPECIFIED,STATION WAGON/SPORT UTILITY VEHICLE,MOTORCYCLE,4407623,11745558,387003CF-9138-408E-9AC1-C5EC964335FB,OCCUPANT,UNSPECIFIED,19943443.0,31.0,,,,,,,REGISTRANT,M,2021,MOTORIST
2021-04-15,15:18:00,2021-04-15 15:18:00,BROOKLYN,11209,40.620487,-74.029305,"(40.620487, -74.029305)",4 AVENUE,FOREST PLACE,0.0,1.0,0,1,0,0,0,0,DRIVER INATTENTION/DISTRACTION,,STATION WAGON/SPORT UTILITY VEHICLE,,4408063,11775948,2B7D4466-6284-4F89-8490-C337B9F204BD,OCCUPANT,UNSPECIFIED,19961004.0,29.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,DRIVER,UNKNOWN,DOES NOT APPLY,DRIVER,M,2021,MOTORIST
2021-04-13,10:30:00,2021-04-13 10:30:00,BROOKLYN,11211,40.714073,-73.95087,"(40.714073, -73.95087)",,,0.0,0.0,0,0,0,0,0,0,DRIVER INATTENTION/DISTRACTION,DRIVER INATTENTION/DISTRACTION,TRACTOR TRUCK DIESEL,SEDAN,4407809,11763091,364CA3DF-2E5B-47E5-B926-4EE879D53965,OCCUPANT,UNSPECIFIED,19953531.0,34.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,DRIVER,LAP BELT,DOES NOT APPLY,DRIVER,M,2021,MOTORIST
2021-04-13,10:30:00,2021-04-13 10:30:00,BROOKLYN,11211,40.714073,-73.95087,"(40.714073, -73.95087)",,,0.0,0.0,0,0,0,0,0,0,DRIVER INATTENTION/DISTRACTION,DRIVER INATTENTION/DISTRACTION,TRACTOR TRUCK DIESEL,SEDAN,4407809,11763092,2B7ADEFC-0CE2-4BA0-ACC3-7D88D4A45D55,OCCUPANT,UNSPECIFIED,19953530.0,,,,,,,,REGISTRANT,U,2021,MOTORIST
2021-04-14,08:58:00,2021-04-14 08:58:00,NONE,,40.62764,-73.89022,"(40.62764, -73.89022)",BELT PARKWAY,,0.0,0.0,0,0,0,0,0,0,PASSING OR LANE USAGE IMPROPER,UNSPECIFIED,STATION WAGON/SPORT UTILITY VEHICLE,STATION WAGON/SPORT UTILITY VEHICLE,4407505,11777250,71294352-14D3-43B9-8689-FF5C37EC278B,OCCUPANT,UNSPECIFIED,19961727.0,25.0,,,,,,,REGISTRANT,F,2021,MOTORIST
2021-04-14,23:10:00,2021-04-14 23:10:00,NONE,,40.729176,-73.87898,"(40.729176, -73.87898)",LONG ISLAND EXPRESSWAY,,2.0,0.0,0,0,0,0,2,0,UNSPECIFIED,UNSPECIFIED,SEDAN,SEDAN,4407769,11807489,1598C102-EEEC-450F-833B-3A115B646C1F,OCCUPANT,INJURED,19979298.0,58.0,NOT EJECTED,CONSCIOUS,NECK,"FRONT PASSENGER, IF TWO OR MORE PERSONS, INCLUDING THE DRIVER, ARE IN THE FRONT SEAT",LAP BELT & HARNESS,NONE VISIBLE,PASSENGER,F,2021,MOTORIST
2021-04-15,12:30:00,2021-04-15 12:30:00,BRONX,10475,40.86832,-73.83317,"(40.86832, -73.83317)",BARTOW AVENUE,EDSON AVENUE,0.0,0.0,0,0,0,0,0,0,OVERSIZED VEHICLE,UNSPECIFIED,SEDAN,TRACTOR TRUCK DIESEL,4408093,11814419,4828778A-2FDD-4E54-A3D6-4BEBC0C7D9F3,OCCUPANT,UNSPECIFIED,19983332.0,27.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,DRIVER,LAP BELT & HARNESS,DOES NOT APPLY,DRIVER,M,2021,MOTORIST
2021-04-15,12:30:00,2021-04-15 12:30:00,BRONX,10475,40.86832,-73.83317,"(40.86832, -73.83317)",BARTOW AVENUE,EDSON AVENUE,0.0,0.0,0,0,0,0,0,0,OVERSIZED VEHICLE,UNSPECIFIED,SEDAN,TRACTOR TRUCK DIESEL,4408093,11814424,D0975033-A73E-48DF-A466-1149788B2AB5,OCCUPANT,UNSPECIFIED,19983332.0,27.0,,,,,,,REGISTRANT,M,2021,MOTORIST
2021-04-14,15:05:00,2021-04-14 15:05:00,BROOKLYN,11201,40.69349,-73.97917,"(40.69349, -73.97917)",MYRTLE AVENUE,ASHLAND PLACE,1.0,0.0,0,0,1,0,0,0,UNSPECIFIED,UNSPECIFIED,STATION WAGON/SPORT UTILITY VEHICLE,BIKE,4407647,11754453,B5703F20-79EE-4118-8FED-0A17BD135A17,OCCUPANT,UNSPECIFIED,19948499.0,56.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,DRIVER,LAP BELT & HARNESS,DOES NOT APPLY,DRIVER,M,2021,MOTORIST
2021-04-14,20:50:00,2021-04-14 20:50:00,NONE,,40.829697,-73.91313,"(40.829697, -73.91313)",TELLER AVENUE,,1.0,0.0,1,0,0,0,0,0,FAILURE TO YIELD RIGHT-OF-WAY,,SEDAN,,4408302,11812037,92B8240B-1D92-4983-ACE3-2E4C8C2BC057,PEDESTRIAN,INJURED,,25.0,,CONSCIOUS,HIP-UPPER LEG,,,NONE VISIBLE,PEDESTRIAN,F,2021,PEDESTRIAN
2021-04-16,12:38:00,2021-04-16 12:38:00,BROOKLYN,11203,40.65241,-73.9264,"(40.65241, -73.9264)",,,0.0,0.0,0,0,0,0,0,0,UNSPECIFIED,UNSPECIFIED,STATION WAGON/SPORT UTILITY VEHICLE,,4408128,11820106,C1807BB4-AC9F-4275-AE0E-0A143D2F65FF,OCCUPANT,UNSPECIFIED,19986803.0,,,,,,,,REGISTRANT,,2021,MOTORIST
2021-04-06,08:50:00,2021-04-06 08:50:00,BRONX,10466,40.891876,-73.8616,"(40.891876, -73.8616)",,,0.0,0.0,0,0,0,0,0,0,OUTSIDE CAR DISTRACTION,DRIVER INATTENTION/DISTRACTION,SEDAN,TAXI,4408391,11806359,2B3260B6-21FC-46F8-8EFF-EB43A3265E7E,OCCUPANT,UNSPECIFIED,19978710.0,30.0,,,,,,,REGISTRANT,M,2021,MOTORIST
2021-04-15,12:30:00,2021-04-15 12:30:00,BROOKLYN,11204,40.620914,-73.9753,"(40.620914, -73.9753)",MC DONALD AVENUE,BAY PARKWAY,1.0,0.0,0,0,0,0,1,0,ILLNES,,SEDAN,,4408154,11782320,95D689F1-5943-4886-9732-02F0854C0066,OCCUPANT,INJURED,19964661.0,76.0,NOT EJECTED,CONSCIOUS,CHEST,"FRONT PASSENGER, IF TWO OR MORE PERSONS, INCLUDING THE DRIVER, ARE IN THE FRONT SEAT",LAP BELT & HARNESS,NONE VISIBLE,PASSENGER,F,2021,MOTORIST
2021-04-13,16:20:00,2021-04-13 16:20:00,BROOKLYN,11203,40.652317,-73.92752,"(40.652317, -73.92752)",EAST 53 STREET,CHURCH AVENUE,0.0,0.0,0,0,0,0,0,0,DRIVER INATTENTION/DISTRACTION,UNSPECIFIED,STATION WAGON/SPORT UTILITY VEHICLE,SEDAN,4408103,11817141,CAB61DAA-B428-4AAC-BAD7-D1834D2826BC,OCCUPANT,UNSPECIFIED,19984984.0,,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,"LEFT REAR PASSENGER, OR REAR PASSENGER ON A BICYCLE, MOTORCYCLE, SNOWMOBILE",CHILD RESTRAINT ONLY,DOES NOT APPLY,PASSENGER,M,2021,MOTORIST
2021-04-13,16:20:00,2021-04-13 16:20:00,BROOKLYN,11203,40.652317,-73.92752,"(40.652317, -73.92752)",EAST 53 STREET,CHURCH AVENUE,0.0,0.0,0,0,0,0,0,0,DRIVER INATTENTION/DISTRACTION,UNSPECIFIED,STATION WAGON/SPORT UTILITY VEHICLE,SEDAN,4408103,11817139,8E7AB30D-8D4D-49AF-8B48-0B9D4418AA68,OCCUPANT,UNSPECIFIED,19984984.0,6.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,"ANY PERSON IN THE REAR OF A STATION WAGON, PICK-UP TRUCK, ALL PASSENGERS ON A BUS, ETC",LAP BELT & HARNESS,DOES NOT APPLY,PASSENGER,F,2021,MOTORIST
2021-04-14,17:25:00,2021-04-14 17:25:00,NONE,,40.643456,-73.972725,"(40.643456, -73.972725)",BEVERLEY ROAD,,0.0,0.0,0,0,0,0,0,0,UNSPECIFIED,UNSPECIFIED,SEDAN,SEDAN,4407527,11781811,FACBFC48-817E-4ACB-8A71-A0AE7B0C7CB4,OCCUPANT,UNSPECIFIED,19964354.0,34.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,DRIVER,LAP BELT & HARNESS,DOES NOT APPLY,DRIVER,M,2021,MOTORIST
2021-04-16,00:17:00,2021-04-16 00:17:00,NONE,,40.661995,-73.91959,"(40.661995, -73.91959)",EAST 98 STREET,TAPSCOTT STREET,0.0,0.0,0,0,0,0,0,0,UNSPECIFIED,,SEDAN,,4408066,11795727,B6C41179-47A5-496C-81D3-575D1A12F232,OCCUPANT,UNSPECIFIED,19972427.0,25.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,"FRONT PASSENGER, IF TWO OR MORE PERSONS, INCLUDING THE DRIVER, ARE IN THE FRONT SEAT",HARNESS,DOES NOT APPLY,PASSENGER,F,2021,MOTORIST
2021-04-16,01:30:00,2021-04-16 01:30:00,NONE,,40.671932,-73.85165,"(40.671932, -73.85165)",NORTH CONDUIT AVENUE,,0.0,0.0,0,0,0,0,0,0,UNSAFE LANE CHANGING,UNSPECIFIED,SEDAN,,4407715,11805633,0D6CEF38-B6C6-4AB3-98E1-BD8C4845BC20,OCCUPANT,UNSPECIFIED,,,,,,,,,WITNESS,,2021,MOTORIST
2021-04-15,15:00:00,2021-04-15 15:00:00,NONE,,40.704494,-73.81743,"(40.704494, -73.81743)",VAN WYCK EXPWY,,1.0,0.0,0,0,0,0,1,0,FOLLOWING TOO CLOSELY,UNSPECIFIED,STATION WAGON/SPORT UTILITY VEHICLE,PICK-UP TRUCK,4407763,11775282,1D936FD3-C5B1-4ED2-BDBE-8C8BB1037C4C,OCCUPANT,UNSPECIFIED,19960641.0,25.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,DRIVER,LAP BELT & HARNESS,DOES NOT APPLY,DRIVER,M,2021,MOTORIST
2021-04-14,22:50:00,2021-04-14 22:50:00,NONE,,40.866673,-73.90896,"(40.866673, -73.90896)",MAJOR DEEGAN EXPRESSWAY,,2.0,0.0,0,0,0,0,2,0,DRIVER INATTENTION/DISTRACTION,FOLLOWING TOO CLOSELY,STATION WAGON/SPORT UTILITY VEHICLE,TAXI,4407428,11789566,5609C9BE-C662-4B83-8C38-DF855EC98F48,OCCUPANT,UNSPECIFIED,19968816.0,23.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,"FRONT PASSENGER, IF TWO OR MORE PERSONS, INCLUDING THE DRIVER, ARE IN THE FRONT SEAT",LAP BELT & HARNESS,DOES NOT APPLY,PASSENGER,M,2021,MOTORIST
2021-04-14,22:50:00,2021-04-14 22:50:00,NONE,,40.866673,-73.90896,"(40.866673, -73.90896)",MAJOR DEEGAN EXPRESSWAY,,2.0,0.0,0,0,0,0,2,0,DRIVER INATTENTION/DISTRACTION,FOLLOWING TOO CLOSELY,STATION WAGON/SPORT UTILITY VEHICLE,TAXI,4407428,11789570,67F79E1A-810B-444B-AE1C-CD5E303B963E,OCCUPANT,UNSPECIFIED,19968815.0,,,,,,,,REGISTRANT,,2021,MOTORIST
2020-04-15,15:20:00,2020-04-15 15:20:00,NONE,,40.671585,-73.99843,"(40.671585, -73.99843)",GOWANUS EXPY (BQE),,0.0,0.0,0,0,0,0,0,0,DRIVER INATTENTION/DISTRACTION,UNSPECIFIED,SEDAN,TRACTOR TRUCK DIESEL,4407790,11775426,08878807-9D06-4F7A-8323-B82AF6F726BF,OCCUPANT,UNSPECIFIED,19960715.0,35.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,DRIVER,LAP BELT & HARNESS,DOES NOT APPLY,DRIVER,M,2020,MOTORIST
